artist_name,track_name,track_id,album_id,artist_id,track_popularity,artist_popularity,artist_genre,duration_ms,release_date,release_date_precision
Dombresky,Down Low (Mixed),3P99n7CidoqDiWDFs1xomG,7uF16JVelqe9okxYE6JCje,2GVtgxcx7jg5xVCZsIHSGN,11,52,"['bass house', 'deep groove house', 'edm', 'electro house', 'house']",111213,2021-12-24,day
Nardo Wick,Me or Sum (feat. Future & Lil Baby),1qlh1WxuWilyIWRwdsKMuJ,6SEeNB2xGW1kmysKSvWYqC,0Njy6yR9LykNKYg9yE23QN,69,68,"['florida rap', 'trap']",225664,2021-11-29,day
Kaizen 92,years later,5GbmoSxbSpbZgMqaDjdebz,1xCnqj3Spm8bBBJRQd02w5,4b3rKm8D3J3HWUggopMju9,6,26,"['focus beats', 'lo-fi beats']",105493,2022-04-19,day
Dylan Scott,New Truck,4MDYIbU6I29Gjiu7JATTIJ,3497MUjpGLcslVVb9ZeteM,78YqeIji3mgAS2K1Maca6x,69,63,"['contemporary country', 'country', 'country road']",174360,2021-07-23,day
Barock Project,Twenty Years,1AEWNXVXZzmjM3AMqwJ2Iu,769bGKQ14XF0Iz8eh39gnb,1PKB3oDVcZBThmJCYyMOQH,11,20,"['crossover prog', 'deep progressive rock', 'italian modern prog', 'modern progressive rock', 'neo-progressive', 'progressive rock', 'symphonic rock']",364120,2021-02-19,day
Drake,Love All (with JAY-Z),4VCbgIdr8ptegWeJpqLVHH,3SpBlxme9WbeQdI9kx7KAV,3TVXtAsR1Inumwj472S9r4,73,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",228461,2021-09-03,day
The Chieftains,The Chattering Magpie - Remastered 2021,06ixRUTD81oiLn07stq9pW,5uEItOPgtRlja2gULx4q7Q,6AnrSlk5Gp1YMXgaI3mWCL,5,45,"['celtic', 'irish folk']",291386,2021-11-12,day
Key Glock,Ambition For Cash,1tkipCYkIgti8f1tqjfcWe,3lMWNCoEQzdbb9lSZa5gv9,0RESbWvOMyua0yuyVrztJ5,73,73,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",143480,2021-10-01,day
The Chieftains,Mná Na hÉireann - Remastered 2021,5rzTDO3MhMb3eC4T2T9sKv,5uEItOPgtRlja2gULx4q7Q,6AnrSlk5Gp1YMXgaI3mWCL,6,45,"['celtic', 'irish folk']",212013,2021-11-12,day
Grupo Los de la O,El Fat Tony,3viZLBs5sOsNFL9JMfuqZN,2diC6yg6Uf2W5eodLX8sMY,1glBi4zyzqaSQoy8ReU0rz,76,69,"['corrido', 'corridos tumbados', 'musica mexicana', 'norteno', 'nueva musica mexicana']",174272,2021-11-12,day
Ennio Morricone,"Brasiliana - From ""Il vizietto"" / Remastered 2021",7IsSKkaAme7KM0sx2nWiGa,4lb6pptkEBitDpwP5QCGs1,1nIUhcKHnK6iyumRyoV68C,7,63,"['classic soundtrack', 'italian soundtrack', 'orchestral soundtrack', 'soundtrack', 'vintage italian soundtrack']",82210,2022-03-23,day
Billie Eilish,I Didn't Change My Number,7bcy34fBT2ap1L4bfPsl9q,0JGOiO34nwfUdDrD612dOp,6qqNVTkY8uBg9cP3Jd7DAH,76,87,"['art pop', 'electropop', 'pop']",158463,2021-07-30,day
Incognito,Always There - David Morales Remix,2t1K4MjCvKdvVYnsepsvAW,1gcxfIY8oeRYr203cTsjVP,5moJNCJeiNwuQAhDLJXULs,16,47,"['brit funk', 'modern funk']",397106,2021-11-19,day
